shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
ERI,1,0.1666666716337204,0.731499969959259,NA,6.620073318481445,NA,0,1,NA,NA,NA,NA,NA,NA
ESP,0,0.4444444477558136,0,9.681818008422852,9.618468284606934,NA,0,0,NA,NA,NA,NA,NA,NA
EST,0,0.6555555462837219,0,NA,8.393895149230957,NA,0,0,NA,NA,NA,NA,NA,NA
ETH,1,0.08888889104127884,0.5509999990463257,5.7272725105285645,6.10924768447876,3.25809645652771,0,1,1,43.31999969482422,116,NA,0.021018000319600105,0.08888900279998779
FIN,0,0.7111111283302307,0,9.727272987365723,9.826066017150879,NA,0,0,NA,NA,NA,NA,NA,NA
FJI,0,0.20000000298023224,NA,NA,8.301521301269531,2.4336133003234863,0,0,NA,NA,NA,NA,NA,NA
FRA,0,0.5111111402511597,0,9.727272987365723,9.963641166687012,1.0577902793884277,0,0,NA,NA,NA,NA,NA,NA
GAB,1,0.011111111380159855,0.940500020980835,7.818181991577148,8.9078826904296875,5.63478946685791,0,1,1,52.41999816894531,87.30000305175781,24.5,0.2617909908294678,0.011110999621450901
GBR,0,0.6000000238418579,0,9.772727012634277,9.878170013427734,0.9360933303833008,0,0,NA,NA,NA,NA,NA,NA
GEO,0,0.46666666865348816,0,NA,7.371489524841309,NA,1,0,NA,NA,NA,NA,NA,NA
GHA,1,0.08888889104127884,0.949999988079071,6.2727274894714355,7.365180015563965,6.504288196563721,0,1,1,60,65.80000305175781,26.357580184936523,0.1929910033941269,0.08888900279998779
GIN,1,0.12222222238779068,0.949999988079071,6.545454502105713,7.489970684051514,6.18001651763916,0,1,1,46.5,124,24.43889045715332,0.1406410038471222,0.12222199887037277
GMB,1,0.14755555987358093,0.949999988079071,8.272727012634277,7.272398471832275,7.293017864227295,0,1,1,47,122,25.66596031188965,0.39976999163627625,0.14755600690841675
GNB,1,0.13333334028720856,0.949999988079071,4.545454502105713,NA,5.103882789611816,0,1,NA,NA,NA,NA,NA,NA
GRC,0,0.4333333373069763,0,7.818181991577148,9.397649765014648,NA,0,0,NA,NA,NA,NA,NA,NA
GTM,0,0.17000000178813934,0.0036000001709908247,5.136363506317139,8.294049263000488,4.2626800537109375,0,1,1,64.04000091552734,46,21.700000762939453,0.42545801401138306,0.17000000178813934
GUY,0,0.0555555559694767,0.495030015707016,5.886363506317139,7.9047040939331055,3.4713451862335205,0,1,1,NA,NA,NA,NA,NA
